Metrekare,Oda,Fiyat,Konum,Belde
240,4,48000,Çamlıca Mh.,Beşevler
110,3,21000,Fethiye Mah.,Ataevler
120,4,24000,Konak Mah.,Beşevler
65,3,13000,Fethiye Mah.,Ataevler
140,4,44000,Çamlıca Mh.,Beşevler
74,2,25000,Minareliçavuş Mh.,Ataevler
240,5,65000,Cumhuriyet Mah.,Ataevler
130,4,33000,Cumhuriyet Mah.,Ataevler
280,5,110000,Balat Mah.,Ataevler
85,3,19150,Konak Mah.,Beşevler
81,2,34000,Odunluk Mah.,Beşevler
130,3,22000,Fethiye Mah.,Ataevler
320,6,42000,Minareliçavuş Mh.,Ataevler
205,4,45000,Çamlıca Mh.,Beşevler
95,3,28000,Balat Mah.,Ataevler
150,4,32500,Cumhuriyet Mah.,Ataevler
150,4,26000,Cumhuriyet Mah.,Ataevler
155,4,28000,Cumhuriyet Mah.,Ataevler
65,2,37000,Odunluk Mah.,Beşevler
150,4,37000,Beşevler Mh.,Beşevler
115,4,24750,Konak Mah.,Beşevler
135,4,22000,Fethiye Mah.,Ataevler
110,3,24000,Konak Mah.,Beşevler
179,4,60000,Cumhuriyet Mah.,Ataevler
185,4,62000,Ahmet Yesevi Mah.,Ataevler
135,3,30000,Balat Mah.,Ataevler
160,4,30000,Çamlıca Mh.,Beşevler
65,2,33000,Odunluk Mah.,Beşevler
232,5,72500,Ahmet Yesevi Mah.,Ataevler
397,5,105000,Gümüştepe Mh.,Beşevler
145,4,37000,Kültür Mh.,Beşevler
233,5,80000,Odunluk Mah.,Beşevler
110,4,22000,Konak Mah.,Beşevler
125,4,20000,Konak Mah.,Beşevler
130,4,27000,Konak Mah.,Beşevler
220,5,61000,Ahmet Yesevi Mah.,Ataevler
110,4,24750,Çamlıca Mh.,Beşevler
145,4,27500,Konak Mah.,Beşevler
55,2,28500,Balat Mah.,Ataevler
130,4,27500,Beşevler Mh.,Beşevler
92,2,30000,Ahmet Yesevi Mah.,Ataevler
110,3,46000,Odunluk Mah.,Beşevler
140,4,24000,Beşevler Mh.,Beşevler
140,4,34000,Çamlıca Mh.,Beşevler
55,2,32000,Balat Mah.,Ataevler
130,4,25000,Konak Mah.,Beşevler
105,2,37000,Odunluk Mah.,Beşevler
160,3,60000,Balat Mah.,Ataevler
132,4,21000,Konak Mah.,Beşevler
150,4,35000,Kültür Mh.,Beşevler
145,4,29000,Fethiye Mah.,Ataevler
140,4,20000,Beşevler Mh.,Beşevler
120,4,29000,Fethiye Mah.,Ataevler
55,2,27500,Ahmet Yesevi Mah.,Ataevler
300,6,75000,Beşevler Mh.,Beşevler
323,5,97000,Balat Mah.,Ataevler
220,5,65000,Balat Mah.,Ataevler
180,4,32000,Konak Mah.,Beşevler
80,2,18000,Konak Mah.,Beşevler
150,4,35000,Kültür Mh.,Beşevler
195,4,45000,Balat Mah.,Ataevler
145,4,35500,Balat Mah.,Ataevler
108,3,37500,Ahmet Yesevi Mah.,Ataevler
225,5,48500,Gümüştepe Mh.,Beşevler
90,2,30000,Odunluk Mah.,Beşevler
360,7,85000,Balat Mah.,Ataevler
136,4,30000,Kültür Mh.,Beşevler
136,4,29000,Konak Mah.,Beşevler
233,4,75000,Balat Mah.,Ataevler
200,5,50000,Konak Mah.,Beşevler
172,4,31500,Beşevler Mh.,Beşevler
55,2,30000,Ahmet Yesevi Mah.,Ataevler
140,4,32000,Kültür Mh.,Beşevler
145,4,46500,Beşevler Mh.,Beşevler
50,2,18500,Fethiye Mah.,Ataevler
165,4,50000,Ahmet Yesevi Mah.,Ataevler
150,4,27000,Beşevler Mh.,Beşevler
140,4,21000,Kültür Mh.,Beşevler
130,4,25000,Beşevler Mh.,Beşevler
170,4,58000,Balat Mah.,Ataevler
100,3,16500,Çamlıca Mh.,Beşevler
95,4,18000,Cumhuriyet Mah.,Ataevler
140,4,28000,Beşevler Mh.,Beşevler
100,3,22500,Fethiye Mah.,Ataevler
80,3,20000,Beşevler Mh.,Beşevler
130,4,20000,Odunluk Mah.,Beşevler
180,5,36000,Barış Mh.,Ataevler
135,4,25500,Cumhuriyet Mah.,Ataevler
150,4,27000,Kültür Mh.,Beşevler
215,4,33000,Minareliçavuş Mh.,Ataevler
220,6,43000,Odunluk Mah.,Beşevler
270,5,50000,Cumhuriyet Mah.,Ataevler
190,3,60000,Odunluk Mah.,Beşevler
99,3,28750,Beşevler Mh.,Beşevler
110,3,18000,Fethiye Mah.,Ataevler
220,4,85000,Balat Mah.,Ataevler
69,3,34000,Beşevler Mh.,Beşevler
100,4,20000,Beşevler Mh.,Beşevler
180,4,26000,Cumhuriyet Mah.,Ataevler
115,3,36000,Balat Mah.,Ataevler
185,4,45000,Balat Mah.,Ataevler
300,5,65000,Balat Mah.,Ataevler
216,5,60000,Çamlıca Mh.,Beşevler
189,4,70000,Balat Mah.,Ataevler
135,4,23000,Barış Mh.,Ataevler
110,4,25000,Beşevler Mh.,Beşevler
150,4,41000,Balat Mah.,Ataevler
215,4,33000,Minareliçavuş Mh.,Ataevler
170,4,55000,Balat Mah.,Ataevler
150,4,26000,Çamlıca Mh.,Beşevler
85,3,15000,Konak Mah.,Beşevler
65,3,27500,Minareliçavuş Mh.,Ataevler
60,2,26000,Balat Mah.,Ataevler
92,2,25000,Ahmet Yesevi Mah.,Ataevler
41,2,19000,Konak Mah.,Beşevler
298,7,109000,Gümüştepe Mh.,Beşevler
110,3,35000,Balat Mah.,Ataevler
105,3,35750,Balat Mah.,Ataevler
150,5,40000,Barış Mh.,Ataevler
140,3,24500,Fethiye Mah.,Ataevler
95,3,39000,Balat Mah.,Ataevler
240,5,55000,Barış Mh.,Ataevler
110,3,20000,Fethiye Mah.,Ataevler
125,3,25000,Cumhuriyet Mah.,Ataevler
90,3,18000,Konak Mah.,Beşevler
70,2,12500,Kültür Mh.,Beşevler
145,4,35000,Cumhuriyet Mah.,Ataevler
135,4,30000,Cumhuriyet Mah.,Ataevler
89,2,34000,Odunluk Mah.,Beşevler
150,4,22500,Beşevler Mh.,Beşevler
130,4,26000,Barış Mh.,Ataevler
120,3,47500,Balat Mah.,Ataevler
74,2,24500,Minareliçavuş Mh.,Ataevler
140,4,27000,Kültür Mh.,Beşevler
150,6,27000,Beşevler Mh.,Beşevler
140,4,40000,Konak Mah.,Beşevler
530,7,75000,Çamlıca Mh.,Beşevler
292,4,75000,Ahmet Yesevi Mah.,Ataevler
55,2,26000,Balat Mah.,Ataevler
135,3,48000,Konak Mah.,Beşevler
125,4,22000,Beşevler Mh.,Beşevler
135,3,52000,Odunluk Mah.,Beşevler
150,4,47000,Çamlıca Mh.,Beşevler
75,2,32000,Ahmet Yesevi Mah.,Ataevler
82,2,33000,Odunluk Mah.,Beşevler
128,3,47000,Balat Mah.,Ataevler
135,4,27000,Çamlıca Mh.,Beşevler
116,2,41000,Odunluk Mah.,Beşevler
125,4,20000,Beşevler Mh.,Beşevler
95,3,17000,Kültür Mh.,Beşevler
130,4,25000,Fethiye Mah.,Ataevler
250,4,75000,Odunluk Mah.,Beşevler
